DATE, LME Copper Stock 
2000-01-01," 15,868,200 "
2000-02-01," 16,834,150 "
2000-03-01," 18,638,525 "
2000-04-01," 13,103,150 "
2000-05-01," 13,712,200 "
2000-06-01," 12,823,725 "
2000-07-01," 11,043,875 "
2000-08-01," 10,180,150 "
2000-09-01," 8,991,150 "
2000-10-01," 8,581,600 "
2000-11-01," 8,046,825 "
2000-12-01," 6,514,475 "
2001-01-01," 7,947,050 "
2001-02-01," 6,140,325 "
2001-03-01," 8,096,450 "
2001-04-01," 8,058,550 "
2001-05-01," 9,224,500 "
2001-06-01," 9,004,250 "
2001-07-01," 12,528,725 "
2001-08-01," 14,605,325 "
2001-09-01," 13,604,975 "
2001-10-01," 17,008,925 "
2001-11-01," 16,289,950 "
2001-12-01," 13,275,300 "
2002-01-01," 17,987,200 "
2002-02-01," 17,585,175 "
2002-03-01," 18,468,500 "
2002-04-01," 20,192,900 "
2002-05-01," 21,239,400 "
2002-06-01," 16,461,400 "
2002-07-01," 20,261,725 "
2002-08-01," 18,709,425 "
2002-09-01," 18,631,525 "
2002-10-01," 19,832,125 "
2002-11-01," 18,153,100 "
2002-12-01," 16,369,850 "
2003-01-01," 18,721,975 "
2003-02-01," 16,638,300 "
2003-03-01," 17,421,825 "
2003-04-01," 15,855,000 "
2003-05-01," 15,489,900 "
2003-06-01," 14,647,550 "
2003-07-01," 14,754,800 "
2003-08-01," 12,428,900 "
2003-09-01," 13,226,500 "
2003-10-01," 12,625,325 "
2003-11-01," 9,878,475 "
2003-12-01," 9,500,250 "
2004-01-01," 8,420,875 "
2004-02-01," 6,437,525 "
2004-03-01," 5,456,375 "
2004-04-01," 3,303,350 "
2004-05-01," 2,736,425 "
2004-06-01," 2,586,625 "
2004-07-01," 2,089,700 "
2004-08-01," 1,981,000 "
2004-09-01," 2,273,650 "
2004-10-01," 1,843,075 "
2004-11-01," 1,486,575 "
2004-12-01," 1,145,200 "
2005-01-01," 914,575 "
2005-02-01," 1,066,150 "
2005-03-01," 1,028,875 "
2005-04-01," 1,097,100 "
2005-05-01," 1,089,525 "
2005-06-01," 812,175 "
2005-07-01," 587,625 "
2005-08-01," 1,134,775 "
2005-09-01," 1,705,000 "
2005-10-01," 1,420,100 "
2005-11-01," 1,477,175 "
2005-12-01," 1,544,600 "
2006-01-01," 2,110,850 "
2006-02-01," 2,069,425 "
2006-03-01," 2,904,825 "
2006-04-01," 2,079,650 "
2006-05-01," 2,335,175 "
2006-06-01," 2,260,200 "
2006-07-01," 1,985,825 "
2006-08-01," 2,501,350 "
2006-09-01," 2,587,950 "
2006-10-01," 2,576,300 "
2006-11-01," 3,322,300 "
2006-12-01," 3,241,900 "
2007-01-01," 4,365,550 "
2007-02-01," 4,259,775 "
2007-03-01," 4,267,225 "
2007-04-01," 3,254,675 "
2007-05-01," 2,981,425 "
2007-06-01," 2,508,825 "
2007-07-01," 2,250,725 "
2007-08-01," 2,620,025 "
2007-09-01," 2,698,900 "
2007-10-01," 3,292,875 "
2007-11-01," 3,934,025 "
2007-12-01," 3,471,150 "
2008-01-01," 4,125,250 "
2008-02-01," 3,260,325 "
2008-03-01," 2,411,600 "
2008-04-01," 2,502,850 "
2008-05-01," 2,399,150 "
2008-06-01," 2,575,100 "
2008-07-01," 2,944,350 "
2008-08-01," 3,120,150 "
2008-09-01," 4,365,325 "
2008-10-01," 4,835,200 "
2008-11-01," 5,415,175 "
2008-12-01," 6,588,650 "
2009-01-01," 8,386,725 "
2009-02-01," 10,444,875 "
2009-03-01," 11,180,375 "
2009-04-01," 9,338,350 "
2009-05-01," 6,833,625 "
2009-06-01," 6,324,000 "
2009-07-01," 6,159,650 "
2009-08-01," 5,836,700 "
2009-09-01," 7,125,625 "
2009-10-01," 7,845,975 "
2009-11-01," 8,536,950 "
2009-12-01," 9,841,800 "
2010-01-01," 10,469,350 "
2010-02-01," 10,943,525 "
2010-03-01," 12,204,050 "
2010-04-01," 10,164,850 "
2010-05-01," 9,209,300 "
2010-06-01," 10,175,125 "
2010-07-01," 9,411,400 "
2010-08-01," 8,538,200 "
2010-09-01," 8,517,000 "
2010-10-01," 7,790,900 "
2010-11-01," 7,960,275 "
2010-12-01," 7,546,675 "
2011-01-01," 7,660,700 "
2011-02-01," 8,062,500 "
2011-03-01," 9,893,150 "
2011-04-01," 8,091,000 "
2011-05-01," 9,351,875 "
2011-06-01," 10,406,325 "
2011-07-01," 9,772,450 "
2011-08-01," 10,215,375 "
2011-09-01," 10,263,175 "
2011-10-01," 9,516,750 "
2011-11-01," 8,904,225 "
2011-12-01," 7,604,725 "
2012-01-01," 7,414,325 "
2012-02-01," 6,548,925 "
2012-03-01," 5,908,700 "
2012-04-01," 4,944,100 "
2012-05-01," 4,953,700 "
2012-06-01," 4,664,600 "
2012-07-01," 5,551,600 "
2012-08-01," 5,248,275 "
2012-09-01," 4,350,100 "
2012-10-01," 5,135,725 "
2012-11-01," 5,479,850 "
2012-12-01," 5,392,675 "
2013-01-01," 7,473,725 "
2013-02-01," 8,143,075 "
2013-03-01," 10,489,625 "
2013-04-01," 12,628,625 "
2013-05-01," 12,948,525 "
2013-06-01," 12,683,325 "
2013-07-01," 14,727,500 "
2013-08-01," 12,327,975 "
2013-09-01," 12,058,000 "
2013-10-01," 11,561,100 "
2013-11-01," 9,490,600 "
2013-12-01," 7,852,675 "
2014-01-01," 7,410,650 "
2014-02-01," 5,911,075 "
2014-03-01," 5,576,425 "
2014-04-01," 4,938,325 "
2014-05-01," 3,711,250 "
2014-06-01," 3,416,575 "
2014-07-01," 3,585,725 "
2014-08-01," 2,889,075 "
2014-09-01," 3,393,150 "
2014-10-01," 3,575,000 "
2014-11-01," 3,224,925 "
2014-12-01," 3,540,675 "
2015-01-01," 4,373,575 "
2015-02-01," 5,740,725 "
2015-03-01," 7,267,675 "
2015-04-01," 6,716,625 "
2015-05-01," 6,368,625 "
2015-06-01," 6,933,200 "
2015-07-01," 7,716,750 "
2015-08-01," 7,096,600 "
2015-09-01," 7,473,850 "
2015-10-01," 6,463,950 "
2015-11-01," 5,394,225 "
2015-12-01," 4,931,475 "
2016-01-01," 4,740,575 "
2016-02-01," 4,567,375 "
2016-03-01," 3,544,350 "
2016-04-01," 3,084,350 "
2016-05-01," 3,141,625 "
2016-06-01," 4,205,400 "
2016-07-01," 4,602,075 "
2016-08-01," 4,950,750 "
2016-09-01," 7,676,875 "
2016-10-01," 7,296,900 "
2016-11-01," 5,874,250 "
2016-12-01," 5,004,375 "
2017-01-01," 5,914,500 "
2017-02-01," 4,731,600 "
2017-03-01," 6,846,125 "
2017-04-01," 4,784,300 "
2017-05-01," 6,829,450 "
2017-06-01," 5,987,050 "
2017-07-01," 6,443,425 "
2017-08-01," 5,973,350 "
2017-09-01," 5,600,425 "
2017-10-01," 6,311,400 "
2017-11-01," 5,324,950 "
2017-12-01," 3,717,250 "
2018-01-01," 5,177,650 "
2018-02-01," 6,498,150 "
2018-03-01," 6,949,175 "
2018-04-01," 7,172,125 "
2018-05-01," 6,297,450 "
2018-06-01," 6,355,175 "
2018-07-01," 5,805,000 "
2018-08-01," 5,675,200 "
2018-09-01," 4,580,850 "
2018-10-01," 3,808,175 "
2018-11-01," 3,427,900 "
2018-12-01," 2,399,225 "
2019-01-01," 3,054,000 "
2019-02-01," 2,846,725 "
2019-03-01," 3,142,225 "
2019-04-01," 3,869,375 "
2019-05-01," 4,284,800 "
2019-06-01," 4,648,750 "
2019-07-01," 6,616,350 "
2019-08-01," 6,401,675 "
2019-09-01," 6,261,850 "
2019-10-01," 6,257,400 "
2019-11-01," 4,770,600 "
2019-12-01," 3,458,125 "
2020-01-01," 3,400,725 "
2020-02-01," 3,520,650 "
2020-03-01," 4,647,750 "
2020-04-01," 5,004,450 "
2020-05-01," 4,927,325 "
2020-06-01," 5,219,950 "
2020-07-01," 3,808,325 "
2020-08-01," 2,181,050 "
2020-09-01," 2,001,475 "
2020-10-01," 3,720,275 "
2020-11-01," 3,420,500 "
2020-12-01," 2,823,850 "
2021-01-01," 1,892,075 "
2021-02-01," 1,506,775 "
2021-03-01," 2,360,500 "
2021-04-01," 3,146,000 "
2021-05-01," 2,341,650 "
2021-06-01," 3,392,500 "
2021-07-01," 4,883,875 "
2021-08-01," 5,102,400 "
2021-09-01," 5,181,200 "
2021-10-01," 3,812,850 "
2021-11-01," 2,213,200 "
2021-12-01," 1,775,425 "
2022-01-01," 1,809,550 "
2022-02-01," 1,535,500 "
2022-03-01," 1,776,950 "
2022-04-01," 2,256,075 "
2022-05-01," 3,535,800 "
2022-06-01," 2,429,350 "
2022-07-01," 2,789,375 "
2022-08-01," 2,785,025 "
2022-09-01," 2,509,400 "
2022-10-01," 2,879,250 "
2022-11-01," 1,971,200 "
2022-12-01," 1,696,075 "
2023-01-01," 1,719,650 "
2023-02-01," 1,318,875 "
2023-03-01," 1,642,150 "
2023-04-01," 1,049,100 "
2023-05-01," 1,678,775 "
